location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,53,µg/m³,25.3505986,82.9083074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,13,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,107,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,38000,µg/m³,26.83399722,80.8917361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,6,µg/m³,26.83399722,80.8917361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,81,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,91,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,41,µg/m³,17.4559458,78.4332152,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,108,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,84,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
